Action, Timestamp
Read from OptionalSubject CSV, 2021.05.23 15:19:38
Read from Group CSV, 2021.05.23 15:19:38
Read from Series CSV, 2021.05.23 15:19:38
Read from Curriculum CSV, 2021.05.23 15:19:38
Read from Student CSV, 2021.05.23 15:20:12
Read from Professor CSV, 2021.05.23 15:20:12
Read from Subject CSV, 2021.05.23 15:20:12
Read from OptionalSubject CSV, 2021.05.23 15:20:12
Read from Group CSV, 2021.05.23 15:20:12
Read from Series CSV, 2021.05.23 15:20:12
Read from Curriculum CSV, 2021.05.23 15:20:12
Read from Student CSV, 2021.05.23 15:20:35
Read from Professor CSV, 2021.05.23 15:20:35
Read from Subject CSV, 2021.05.23 15:20:35
Read from OptionalSubject CSV, 2021.05.23 15:20:35
Read from Group CSV, 2021.05.23 15:20:35
Read from Series CSV, 2021.05.23 15:20:35
Read from Curriculum CSV, 2021.05.23 15:20:35
Read from Student CSV, 2021.05.23 15:21:10
Read from Professor CSV, 2021.05.23 15:21:10
Read from Subject CSV, 2021.05.23 15:21:10
Read from OptionalSubject CSV, 2021.05.23 15:21:10
Read from Group CSV, 2021.05.23 15:21:10
Read from Series CSV, 2021.05.23 15:21:10
Read from Curriculum CSV, 2021.05.23 15:21:10
Read from Student CSV, 2021.05.23 15:22:05
Read from Professor CSV, 2021.05.23 15:22:05
Read from Subject CSV, 2021.05.23 15:22:05
Read from OptionalSubject CSV, 2021.05.23 15:22:05
Read from Group CSV, 2021.05.23 15:22:05
Read from Series CSV, 2021.05.23 15:22:05
Read from Curriculum CSV, 2021.05.23 15:22:05
Read from Student CSV, 2021.05.23 15:22:46
Read from Professor CSV, 2021.05.23 15:22:46
Read from Subject CSV, 2021.05.23 15:22:46
Read from OptionalSubject CSV, 2021.05.23 15:22:46
Read from Group CSV, 2021.05.23 15:22:46
Read from Series CSV, 2021.05.23 15:22:46
Read from Curriculum CSV, 2021.05.23 15:22:46
Read from Student CSV, 2021.05.23 15:24:17
Read from Professor CSV, 2021.05.23 15:24:17
Read from Subject CSV, 2021.05.23 15:24:17
Read from OptionalSubject CSV, 2021.05.23 15:24:17
Read from Group CSV, 2021.05.23 15:24:17
Read from Series CSV, 2021.05.23 15:24:17
Read from Curriculum CSV, 2021.05.23 15:24:17
Read from Student CSV, 2021.05.23 15:32:53
Read from Professor CSV, 2021.05.23 15:32:53
Read from Subject CSV, 2021.05.23 15:32:53
Read from OptionalSubject CSV, 2021.05.23 15:32:53
Read from Group CSV, 2021.05.23 15:32:53
Read from Series CSV, 2021.05.23 15:32:53
Read from Curriculum CSV, 2021.05.23 15:32:53
Read from Student CSV, 2021.05.23 15:33:35
Read from Professor CSV, 2021.05.23 15:33:35
Read from Subject CSV, 2021.05.23 15:33:35
Read from OptionalSubject CSV, 2021.05.23 15:33:35
Read from Group CSV, 2021.05.23 15:33:35
Read from Series CSV, 2021.05.23 15:33:35
Read from Curriculum CSV, 2021.05.23 15:33:35
Read from Student CSV, 2021.05.23 15:34:56
Read from Professor CSV, 2021.05.23 15:34:56
Read from Subject CSV, 2021.05.23 15:34:56
Read from OptionalSubject CSV, 2021.05.23 15:34:56
Read from Group CSV, 2021.05.23 15:34:56
Read from Series CSV, 2021.05.23 15:34:56
Read from Curriculum CSV, 2021.05.23 15:34:56
Read from Student CSV, 2021.05.23 15:37:04
Read from Professor CSV, 2021.05.23 15:37:04
Read from Subject CSV, 2021.05.23 15:37:04
Read from OptionalSubject CSV, 2021.05.23 15:37:04
Read from Group CSV, 2021.05.23 15:37:04
Read from Series CSV, 2021.05.23 15:37:04
Read from Curriculum CSV, 2021.05.23 15:37:04
Read from Student CSV, 2021.05.23 15:41:27
Read from Professor CSV, 2021.05.23 15:41:27
Read from Subject CSV, 2021.05.23 15:41:27
Read from OptionalSubject CSV, 2021.05.23 15:41:27
Read from Group CSV, 2021.05.23 15:41:27
Read from Series CSV, 2021.05.23 15:41:27
Read from Curriculum CSV, 2021.05.23 15:41:27
Read from Student CSV, 2021.05.23 15:41:49
Read from Professor CSV, 2021.05.23 15:41:49
Read from Subject CSV, 2021.05.23 15:41:49
Read from OptionalSubject CSV, 2021.05.23 15:41:49
Read from Group CSV, 2021.05.23 15:41:49
Read from Series CSV, 2021.05.23 15:41:49
Read from Curriculum CSV, 2021.05.23 15:41:49
Read from Student CSV, 2021.05.23 15:43:30
Read from Professor CSV, 2021.05.23 15:43:30
Read from Subject CSV, 2021.05.23 15:43:30
Read from OptionalSubject CSV, 2021.05.23 15:43:30
Read from Group CSV, 2021.05.23 15:43:30
Read from Series CSV, 2021.05.23 15:43:30
Read from Curriculum CSV, 2021.05.23 15:43:30
Read from Student CSV, 2021.05.23 16:05:27
Read from Professor CSV, 2021.05.23 16:05:27
Read from Subject CSV, 2021.05.23 16:05:27
Read from OptionalSubject CSV, 2021.05.23 16:05:27
Read from Group CSV, 2021.05.23 16:05:27
Read from Series CSV, 2021.05.23 16:05:27
Read from Curriculum CSV, 2021.05.23 16:05:27
Read from Student CSV, 2021.05.24 11:27:35
Read from Professor CSV, 2021.05.24 11:27:35
Read from Subject CSV, 2021.05.24 11:27:35
Read from OptionalSubject CSV, 2021.05.24 11:27:35
Read from Group CSV, 2021.05.24 11:27:35
Read from Series CSV, 2021.05.24 11:27:35
Read from Curriculum CSV, 2021.05.24 11:27:35
Read from Student CSV, 2021.05.24 11:27:51
Read from Professor CSV, 2021.05.24 11:27:51
Read from Subject CSV, 2021.05.24 11:27:51
Read from OptionalSubject CSV, 2021.05.24 11:27:51
Read from Group CSV, 2021.05.24 11:27:51
Read from Series CSV, 2021.05.24 11:27:51
Read from Curriculum CSV, 2021.05.24 11:27:51
Read from Student CSV, 2021.05.24 11:31:11
Read from Professor CSV, 2021.05.24 11:31:11
Read from Subject CSV, 2021.05.24 11:31:11
Read from OptionalSubject CSV, 2021.05.24 11:31:11
Read from Group CSV, 2021.05.24 11:31:11
Read from Series CSV, 2021.05.24 11:31:11
Read from Curriculum CSV, 2021.05.24 11:31:11
Read from Student CSV, 2021.05.24 11:33:56
Read from Professor CSV, 2021.05.24 11:33:56
Read from Subject CSV, 2021.05.24 11:33:56
Read from OptionalSubject CSV, 2021.05.24 11:33:56
Read from Group CSV, 2021.05.24 11:33:56
Read from Series CSV, 2021.05.24 11:33:56
Read from Curriculum CSV, 2021.05.24 11:33:56
Read from Student CSV, 2021.05.24 11:44:27
Read from Professor CSV, 2021.05.24 11:44:27
Read from Subject CSV, 2021.05.24 11:44:27
Read from OptionalSubject CSV, 2021.05.24 11:44:27
Read from Group CSV, 2021.05.24 11:44:27
Read from Series CSV, 2021.05.24 11:44:27
Read from Curriculum CSV, 2021.05.24 11:44:27
Read from Student CSV, 2021.05.24 11:45:52
Read from Professor CSV, 2021.05.24 11:45:52
Read from Subject CSV, 2021.05.24 11:45:52
Read from OptionalSubject CSV, 2021.05.24 11:45:52
Read from Group CSV, 2021.05.24 11:45:52
Read from Series CSV, 2021.05.24 11:45:52
Read from Curriculum CSV, 2021.05.24 11:45:52
Read from Student CSV, 2021.05.24 16:44:11
Read from Professor CSV, 2021.05.24 16:44:11
Read from Subject CSV, 2021.05.24 16:44:11
Read from OptionalSubject CSV, 2021.05.24 16:44:11
Read from Group CSV, 2021.05.24 16:44:11
Read from Series CSV, 2021.05.24 16:44:11
Read from Curriculum CSV, 2021.05.24 16:44:11
Read from Student CSV, 2021.05.24 20:17:26
Read from Professor CSV, 2021.05.24 20:17:26
Read from Subject CSV, 2021.05.24 20:17:26
Read from OptionalSubject CSV, 2021.05.24 20:17:26
Read from Group CSV, 2021.05.24 20:17:26
Read from Series CSV, 2021.05.24 20:17:26
Read from Curriculum CSV, 2021.05.24 20:17:26
Print Students from list, 2021.05.24 20:17:30
